ekakaviri.8.winter_wind;Это самый удачный случай. Я встречался с группой Детей Зимы, вечно странствующих мертвецов.;;;;;;;;;;;;;x;
ekakaviri.8.fight;Они, мерзость!;;;;;;;;;;;;;x;
ekakaviri.8.venerate;Поклонись в почтении.;;;;;;;;;;;;;x;
ekakaviri.8.study;Какие секреты они хранят?;;;;;;;;;;;;;x;
ekakaviri.10.desc;Мои странствия продолжались около месяца. Пришло время решить, в каком направлении я отправлюсь в путешествие, прежде чем вернуться домой.;;;;;;;;;;;;;x;
ekakaviri.10.kan;Юг, к источнику мощи Кан!;;;;;;;;;;;;;x;
ekakaviri.10.ura;Запад, к источнику удивления Ура!;;;;;;;;;;;;;x;
ekakaviri.10.en;Восток, к источнику справедливости Эн!;;;;;;;;;;;;;x;
ekakaviri.10.zen;Север, к источнику Зенских богатств!;;;;;;;;;;;;;x;
ekakaviri.10.winter;В самые холодные горы!;;;;;;;;;;;;;x;
ekakaviri.11.desc;Когда я брожу по долине на юг, резкие ветры непрерывно замедляют меня. В таком случае мне потребуется некоторое время, чтобы вернуться на свою землю.;;;;;;;;;;;;;x;
ekakaviri.11.accept;Прорываюсь сквозь ветер!;;;;;;;;;;;;;x;
ekakaviri.11.dont;Все в порядке.;;;;;;;;;;;;;x;
ekakaviri.12.desc;Направляясь на юг, стадо диких церицин блокирует проход, который ведет к моему пути.;;;;;;;;;;;;;x;
ekakaviri.12.accept;Разрезать животных!;;;;;;;;;;;;;x;
ekakaviri.12.dont;Полюбуетесь на них спокойно.;;;;;;;;;;;;;x;
ekakaviri.13.desc;Извилистый путь ведет вверх по холму передо мной. Тем не менее, возможно, что соседняя скала будет проидена быстрее.;;;;;;;;;;;;;;
ekakaviri.13.accept;Время взбираться;;;;;;;;;;;;;x;
ekakaviri.13.dont;Эти камни кажутся не очень безопасными.;;;;;;;;;;;;;x;
ekakaviri.14.desc;Блуждая на запад, я сталкиваюсь с трупом бедного путешественника, который не мог выжить в дебрях. Кажется, среди оставшихся вещей есть несколько бумаг.;;;;;;;;;;;;;x;
ekakaviri.14.accept;Топливо для ума.;;;;;;;;;;;;;x;
ekakaviri.14.dont;Топливо для костра.;;;;;;;;;;;;;x;
ekakaviri.15.desc;Проснувшись от отдыха, я вижу, что западный ветер унес мой шторм. Я могу дождаться шторма, но дома может быть кризис, который требует моего внимания!;;;;;;;;;;;;;x;
ekakaviri.15.accept;Все будет отлично;;;;;;;;;;;;;x;
ekakaviri.15.dont;Я должен вернуться к [Root.Capital.GetName]!;;;;;;;;;;;;;x;
ekakaviri.16.desc;Возвышаясь на холм, я вижу кристально чистый снег, мягко падающий с неба и покрывающий долину внизу. Ветра, независимо от их истинной природы, несомненно, формируют эту землю.;;;;;;;;;;;;;x;
ekakaviri.16.accept;Я буду поддерживать наши традиции.;;;;;;;;;;;;;x;
ekakaviri.16.dont;Сцена довольно красивая, но не более чем символическая.;;;;;;;;;;;;;x;
ekakaviri.17.desc;Во время моего путешествия на восток я сталкиваюсь с мостом и небольшим храмом перед ним. Надпись на святыне предлагает всем, кто пользуется мостом, оставить подношение.;;;;;;;;;;;;;x;
ekakaviri.17.accept;Я выполняю просьбу;;;;;;;;;;;;;x;
ekakaviri.17.dont;Кто собирается остановить меня?;;;;;;;;;;;;;x;
ekakaviri.18.desc;Пробираясь на восток, я нахожу впечатляющий драгоценный камень, лежащий на снегу. Несколько минут спустя, обезумевший странник встречает меня, спрашивая, видел ли я драгоценный камень, похожий на тот, который я нашел.;;;;;;;;;;;;;x;
ekakaviri.18.accept;Верните драгоценный камень страннику.;;;;;;;;;;;;;x;
ekakaviri.18.dont;Я ничего не видел, нет…;;;;;;;;;;;;;x;
ekakaviri.19.desc;Последние несколько дней были чрезвычайно утомительными. Восточный ветер накапливает снег все выше, а урожай от моей охоты становится все меньше и меньше.;;;;;;;;;;;;;x;
ekakaviri.19.accept;Я должен идти вперед.;;;;;;;;;;;;;x;
ekakaviri.19.dont;Я должен успокоиться.;;;;;;;;;;;;;x;
ekakaviri.20.desc;Мое путешествие на север привело меня к маленькой святыне с новым подношением.;;;;;;;;;;;;;x;
ekakaviri.20.accept;Добавить подношение в мои паёк.;;;;;;;;;;;;;x;
ekakaviri.20.dont;Пройдите с уважением.;;;;;;;;;;;;;x;
ekakaviri.21.desc;Когда я путешествую дальше, редкий теплый ветерок поражает меня с севера. Это напоминание о землях, лежащих за этой замерзшей тундрой.;;;;;;;;;;;;;x
ekakaviri.21.accept;Я поплыву на север, однажды;;;;;;;;;;;;;x;
ekakaviri.21.dont;Этой земли мне достаточно.;;;;;;;;;;;;;x;
ekakaviri.22.desc;В немного оживленном регионе на севере я прохожу по дороге группу трейдеров. Наблюдая за их великим богатством, одна мысль наполняет мой разум.;;;;;;;;;;;;;x;
ekakaviri.22.accept;Это должно быть моим!;;;;;;;;;;;;;x;
ekakaviri.22.dont;Они подготовились довольно хорошо.;;;;;;;;;;;;;x;
ekakaviri.23.desc;Когда я ищу убежище в горах, я обнаруживаю, что стая волков ищет убежище в той же пещере, что и я.;;;;;;;;;;;;;x;
ekakaviri.23.accept;Добуду их шкуры.;;;;;;;;;;;;;x;
ekakaviri.23.dont;Отойти медленно.;;;;;;;;;;;;;x;
ekakaviri.24.desc;Я вижу множество нежити, преследующей какого-то бедного ребенка внизу. Мертвые священны, но если я ничего не сделаю, мальчик обязательно умрет.;;;;;;;;;;;;;x;
ekakaviri.24.accept;Такова жизнь.;;;;;;;;;;;;;x;
ekakaviri.24.dont;Я не жалею что спас его.;;;;;;;;;;;;;x;
ekakaviri.25.desc;Взбираясь на гору, я вижу огромные просторы земель Камаля: венец любой внутренней империи и сильную базу для расширения.;;;;;;;;;;;;;x;
ekakaviri.25.accept;Мир будет моим!;;;;;;;;;;;;;x;
ekakaviri.25.dont;Что может быть лучше этого пейзажа?;;;;;;;;;;;;;x;
ekakaviri.26.desc;Я наконец вернулся в [Root.Capital.GetName]. Мое путешествие было поучительным, и я возвращаюсь на свой трон как изменившийся правитель.;;;;;;;;;;;;;x;
ekakaviri.26.accept;Наконец-то!;;;;;;;;;;;;;x;
