#####
# Men
#####
## Акавирец
ayleid_desc;Этот персонаж - Айлейд, или Дикий Эльф. Сегодня айлейды являются последними остатками некогда гордой, но пришедшей в упадок эльфийской империи Сиродила, которая была уничтожена "Королевой рабов" Алессией в Первую Эру.\n\nВозраст [Root.GetFirstName]: [Root.GetElvenAge].\n\n[Root.GetIsLongLivedRace]\n;;;;;;;;;;;;;x
## Bosmer
bosmer;Босмер;Bosmer;Bosmer;;Bosmer;;;;;;;;;x
bosmer_desc;Этот персонаж Босмер, эльф из лесов Валенвуда. Они очень подвижны и считаются лучшими стрелками Тамриэля. Как и у всех меров, у босмеров большая продолжительность жизни.\n\nВозраст [Root.GetFirstName]: [Root.GetElvenAge].\n\n[Root.GetIsLongLivedRace]\n;;;;;;;;;;;;;x
## Chimer
chimer;Кимер;;;;;;;;;;;;;x
chimer_desc;Кимеры были альдмерскими племенами-диссидентами, ушедшими в изгнание с островов Саммерсет и закончившие свой исход в Морровинде, в конце концов став данмерами. Предки этого клана отделились от основной части Морровиндской группы и создали колонию на архипелаге Катноквей, благодаря чему эта ветвь кимеров сохранилась и осталась практически неизменной. Физически они очень похожи на альтмеров, которые, в свою очередь, почти идентичны с первыми альдмерами.\n\nВозраст [Root.GetFirstName]: [Root.GetElvenAge].\n\n[Root.GetIsLongLivedRace]\n;;;;;;;;;;;;;x
## Dunmer
dunmer;Данмер;Dunmer;Dunmer;;Dunmer;;;;;;;;;x
dunmer_desc;Этот персонаж - данмер, эльф Морровинда. Данмеры умелые воины в большинстве видов борьбы, но они не доверяют представителям других тамриэльских рас. Как и все эльфы, они обладают высокой продолжительностью жизни.\n\nВозраст [Root.GetFirstName]: [Root.GetElvenAge].\n\n[Root.GetIsLongLivedRace]\n;;;;;;;;;;;;;x
## Dwemer
dwemer;Двемер;Dwemer;Dwemer;;Dwemer;;;;;;;;;x
dwemer_desc;Народ глубин - легендарная исчезнувшая раса Двемеров, проживавшая в основном на территории современного Морровинда, но так же имевшая поселения в Хаммерфелле, Хай-Роке и Скайриме. Вымешленная, но очень популярная серия рассказов "Древние легенды двемеров" заложила в массовом сознании ложный образ глубинного народа, рисуя их понятными и похожими на людей. В реальности двемеры представляли из себя грозных, непостижимых обычному уму и даже жестоких, но и очень внимательных, умных и трудолюбивых меров.\n\nВозраст [Root.GetFirstName]: [Root.GetElvenAge].\n\n[Root.GetIsLongLivedRace]\n;;;;;;;;;;;;;x
## Falmer
falmer;Фалмер;Falmer;Falmer;;Falmer;;;;;;;;;x
falmer_desc;Фалмеры, или Снежные Эльфы, когда-то были хозяинами Скайрима. Но, в конце концов, норды, в отместку за совершенные фалмерами злодеяния, начали войну против снежных эльфов и изгнали их из Скайрима. Многие из эльфов бежали к двемерам, но были обмануты ими и попали в вечное рабство. Эти фалмеры потеряли свой прежний вид, превратившись в гоблиноподобных дикарей. Однако, ходят слухи о том, что не все снежные эльфы мутировали и часть из них все еще жива...\n\nВозраст [Root.GetFirstName]: [Root.GetElvenAge].\n\n[Root.GetIsLongLivedRace]\n;;;;;;;;;;;;;x
## Maomer
maormer;Маормер;Maormer;Maormer;;Maormer;;;;;;;;;x
maormer_desc;Маомеры, так же известные как морские эльфы или тропические эльфы - это раса меров, проживающих на островах Пиадонении к югу от Тамриэля.\n\nВозраст [Root.GetFirstName]: [Root.GetElvenAge].\n\n[Root.GetIsLongLivedRace]\n;;;;;;;;;;;;;x
## Orsimer
orsimer;Орсимер;Orsimer;Orsimer;;Orsimer;;;;;;;;;x
orsimer_desc;Этот персонаж - Орк, зверолюд из Ротгарианских гор. Они известны своими боевыми навыками, мужеством и выносливостью. Хотя они и считаются эльфами, орки, как правило, долго не живут. \n\n[Root.GetIsShortLivedRace]\n;;;;;;;;;;;;;x
## Tsaesci
tsaesci;Цаэски;Tsaesci;Tsaesci;;Tsaesci;;;;;;;;;x
tsaesci_desc;Этот персонаж - Цаэски, змееподобный, но вполне узнаваемый гуманоид из плодородных лесов и долин центрального Акавира. Цаэски - хитрый и воинственный народ с очень большой продолжительностью жизни.\n\nВозраст [Root.GetFirstName]: [Root.GetElvenAge].\n\n[Root.GetIsLongLivedRace]\n;;;;;;;;;;;;;x
#####
# Beasts
#####
## Argonian
argonian;Аргонианин;;;;;;;;;;;;;x
argonian_desc;Этот персонаж - Аргонианин, хладнокровная рептилия из болот Аргонии. У них есть естественная сопротивляемость к любым видам болезний и зелий, им нужно полагаться на скрытность, чтобы выжить. \n\n[Root.GetIsShortLivedRace]\n;;;;;;;;;;;;;x
## Khajiit
khajiit;Каджит;Khajiit;Khajiit;;Khajiit;;;;;;;;;x
khajiit_desc;Этот персонаж - Каджит, зверолюд из Эльсвейра. Они умны и проворны, что делает их хорошими убийцами. \n\n[Root.GetIsShortLivedRace]\n;;;;;;;;;;;;;x
## Po Tun
potun;По Тун;Po Tun;Po Tun;;Po Tun;;;;;;;;;x
potun_desc;По Тун - это раса зверолюдей, похожих на тигров (и в некотором роде на каджитов), из пустынных регионов Акавира. \n\n[Root.GetIsShortLivedRace]\n;;;;;;;;;;;;;x
## Tang Mo
tangmo;Танг Мо;Tang Mo;Tang Mo;;Tang Mo;;;;;;;;;x
tangmo_desc;Танг Мо являются мирными обезьяноподобными обитателями южных островов Акавира. Они находятся в постоянном конфликте с Камаль и всегда готовы защищать свою родину. \n\n[Root.GetIsShortLivedRace]\n;;;;;;;;;;;;;x
#####
# Misc
#####
## Dremora
dremora;Киназ;Kynaz;Kynaz;;Kynaz;;;;;;;;;x
dremora_desc;Киназы, также известные как «Дремора», гуманоиды Даэдра. Дреморы часто считаются беспощадной расой Нирна, а Дреморы часто встречается на службе у даэдрических принцев, таких как Молаг Бал и Мехрунес Дагон. Они очень опытные маги и бойцы. Дреморы, как и большинство даэдра, бессмертны. Когда их убивают на Нирне, они восстанавливаются в Обливионе.;;;;;;;;;;;;;x
## Sload
sload;Слоад;;;;;;;;;;;;;x
sload_desc;Слоады - амфибии-слизняки, известные своим мастерством в некромантском искусстве, и, возможно, самая ненавистная раса во всем Тамриэле. По-видимому, они не испытывают эмоций в отличии от других рас.;;;;;;;;;;;;;x
## Undead
undead;Нежить;Undead;Undead;;Undead;;;;;;;;;x
undead_desc;Бессмертный мертвец.;;;;;;;;;;;;;x
