#CODE;RUSSIAN;x
INSULT_DEBAUCHER;дебошир[This.GetEndKa];x
INSULT_LITTLE;Мелк[This.GetAyaIy];x
INSULT_DEGENERATE;Развращённ[This.GetAyaYy];x
INSULT_PERVERTED;Развращённ[This.GetAyaYy];x
INSULT_TROLLOP;потаскуха;x
INSULT_PRUNE;ханжа;x
INSULT_PRUDE;ханжа;x
INSULT_PRUDISH;Стыдлив[This.GetAyaYy];x
INSULT_BORE;Скучн[This.GetAyaYy];x
INSULT_IDLER;бездельни[This.GetTsaK];x
INSULT_COVETOUS;Алчн[This.GetAyaYy];x
INSULT_SOFT;слизня[This.GetChkaK];x
INSULT_SPIDER;паук;x
INSULT_WUSSY;Ссыклив[This.GetAyaYy];x
INSULT_TIMID;Боязлив[This.GetAyaYy];x
INSULT_COY;Жеманн[This.GetAyaYy];x
INSULT_RAPACIOUS;Оборзевш[This.GetAyaIy];x
INSULT_GRASPING;Оборзевш[This.GetAyaIy];x
INSULT_NARROWMINDED;Узколоб[This.GetAyaYy];x
COMPL_VIVACIOUS;Жизнерадостн[This.GetAyaYy];x
COMPL_DEMURE;Скромн[This.GetAyaYy];x
COMPL_SINCERE;Искренн[This.GetAyaIy];x
COMPL_FORTHRIGHT;Откровенн[This.GetAyaYy];x
COMPL_ROGUE;пройдоха;x
COMPL_RAFFISH;Дерзк[This.GetAyaIy];x
COMPL_AFFABLE;Любезн[This.GetAyaYy];x
COMPL_WIT;затейни[This.GetTsaK];x
COMPL_DEVIL;чертовка;x
COMPL_IMPISH;Шаловлив[This.GetAyaYy];x
COMPL_PIRATE;пират[This.GetEndKa];x
COMPL_BERSERKER;берсерк;x
COMPL_SAOSHYANT;саошиант[This.GetEndka];x
COMPL_VALKYRIE;валькирия;x
COMPL_VIKING;викинг;x
COMPL_FAIR;Прелестн[This.GetAyaYy];x
COMPL_BEAUTY;красав[This.GetItsaEts];x
COMPL_HANDSOME;Неотразим[This.GetAyaYy];x
COMPL_BRILLIANT;Одарённ[This.GetAyaYy];x
COMPL_GENIUS;гений;x
COMPL_STRONG;Сильн[This.GetAyaYy];x
COMPL_SCHOLAR;эрудит[This.GetEndKa];x
COMPL_LEARNED;учён[This.GetAyaYy];x
COMPL_MYSTIC;мистик;x
COMPL_POET;поэт;x
COMPL_CHASTE;Добродетельн[This.GetAyaYy];x
COMPL_GOOD;Великодушн[This.GetAyaYy];x
COMPL_DILIGENT;Усердн[This.GetAyaYy];x
COMPL_KINDLY;Добр[This.GetAyaYy];x
COMPL_KINDHEARTED;Добр[This.GetAyaYy];x
COMPL_BRAVE;Храбр[This.GetAyaYy];x
COMPL_PROUD;Горд[This.GetAyaYy];x
COMPL_HUMBLE;Смиренн[This.GetAyaYy];x
COMPL_JUST;Справедлив[This.GetAyaYy];x
COMPL_RIGHTEOUS;Праведн[This.GetAyaYy];x
COMPL_SAYYID;сейид[This.GetEndA];x
COMPL_SAYYIDA;сейида;x
COMPL_PILGRIM;паломни[This.GetTsaK];x
COMPL_MIRZA;мирза;x
COMPL_HAJJAJ;хаджи;x
COMPL_MUJAHID;моджахед[This.GetEndKa];x
COMPL_CRUSADER;крестоносец;x
COMPL_HAFIZ;хафиз[This.GetEndKa];x
COMPL_FAQIH;факих[This.GetEndKa];x
COMPL_WISE;Мудр[This.GetAyaYy];x
COMPL_PURPLE_BORN;Багрянородн[This.GetAyaYy];x
COMPL_AUGUSTUS;август[This.GetEndA];x
COMPL_HOLY_WARRIOR;Свят[This.GetAyaOy] воитель[This.GetEndNitsa];x
COMPL_MONK;монах;x
COMPL_NUN;монахиня;x
COMPL_CHARMER;красав[This.GetItsaEts];x
COMPL_CHARMING;Обольстительн[This.GetAyaYy];x
COMPL_RAVISHING;Обворожительн[This.GetAyaYy];x
COMPL_ENCHANTRESS;Обольститель[This.GetEndNitsa];x
COMPL_FETCHING;Очаровательн[This.GetAyaYy];x
COMPL_GREAT;Велик[This.GetAyaIy];x
COMPL_SWEET;Мил[This.GetAyaYy];x
COMPL_DEAR;Дорог[This.GetAyaOy];x
COMPL_LORD;[This.GetAgedPerson];x
COMPL_LADY;[This.GetAgedPerson];x
COMPL_SEDUCER;соблазнитель[This.GetEndNitsa];x
COMPL_PLEASANT;Приятн[This.GetAyaYy];x
COMPL_LEVELHEADED;Хладнокровн[This.GetAyaYy];x
COMPL_WRY;Ироничн[This.GetAyaYy];x
AIREASON_UNFAITHFULNESS;Неверность;x
HAS_NOT_POLYGAMY;Нет полигамии;x
HAS_POLYGAMY;Есть полигамия;x
HAS_NOT_CONCUBINAGE;Нет наложничества;x
HAS_CONCUBINAGE;Есть наложничество;x
DIVORCE_INTERACTION_2;Доказано, что §Y[Recipient.GetTitledFirstName]§! не хранит Вам верность! Вы в праве развестись, но [Recipient.GetHersHis] близкие родственники будут оскорблены (§R$OPINION$§! к мнению о Вас)...;x
EVTOPTA301_DESC;§Y[From.GetFirstName]§! объявлен[From.GetEndA] как м[From.GetOyaOy] законн[From.GetAyaYy] [From.GetSonDaughter] и в полной мере обрел[From.GetEndA] права наследования.\n;x
EVTOPTB301_DESC;§Y[From.GetFirstName]§! оста[From.GetLasLsya] вне закона, но отныне признан[From.GetEndA] как м[From.GetOyaOy] [From.GetSonDaughter] и может вступать в брак для формирования союзов. [From.GetHersHisCap] дети будут принадлежать новой династии.\n;x
EVTOPTC301_DESC;§Y[From.GetFirstName]§! отвергнут[From.GetEndA] и оста[From.GetLasLsya] бастардом неизвестного отца, не имея никакой официальной связи со мной.\n;x
EVTDESC404_KF;Моя [From.GetRootRelation] [From.GetFirstName] беременна, но я никак не могу быть отцом её будущего ребёнка! Страна уже полна слухами - каждый знает, что [From.FatherOfUnborn.GetTitledName] - настоящий отец.;x
EVTDESC404_2;Моя [From.GetRootRelation] [From.GetFirstName] говорит, что она беременна, но ведь этого не может быть... или может?;x
EVTOPTB404;Осудить обоих за измену!;x
EVTDESC21001;Казалось, всё уже ясно, я не могу быть отцом ребёнка моей жены. Но её живот всё растёт, а я не могу спать по ночам. Нужно решить этот вопрос!;x
EVTOPTA21001;Найму кого-нибудь, чтобы найти ответы.;x
EVTOPTB21001;Нет, я ей доверяю!;x
EVTDESC21003;Служанка, которую я нанял, чтобы следить за моей женой, подтвердила мои подозрения, [From.FatherOfUnborn.GetTitledName] - [From.GetHersHis] любовник и настоящий отец ребёнка!;x
EVTDESC21003_CR;Женщина, которую я нанял шпионить за моей женой, обнаружила шокирующую правду о её беременности. Я был прав, отец - не я, а... [From.FatherOfUnborn.GetTitledFirstName], её [From.FatherOfUnborn.GetFromVsRelation]!;x
EVTOPTA21003;Ради всего святого, лучше держать это в тайне!;x
EVTOPTB21003;Нечестивцы! Разоблачить изменников!;x
EVTOPTC21003;Божественно... но это измена. Разоблачить их!;x
EVTOPTD21003;Это государственная измена!;x
EVTDESC21005;М[From.GetOyaOy] [From.GetRootRelation] вломи[From.GetLasLsya] в м[Root.GetMyChamberACC], с криком швыряя стулья. [From.GetSheHeCap] узнал[From.GetEndA] о моей преступной связи и обвинил[From.GetEndA] меня в том, что отец ребёнка - не он, а [Root.FatherOfUnborn.GetTitledFirstName]...;x
EVTOPTA21005;Плоть слаба...;x
EVTDESC21006;[From.GetTitledName] узнал[From.GetEndA] о моей связи с [From.GetHersHis] женой. Он знает, что ребёнок, которого она носит, на самом деле мой...;x
EVTOPTA21006;Мне конец!;x
EVTOPTB21006;Проклятье...;x
EVTDESC21010;Служанка, которую я нанял, чтобы следить за моей женой, не обнаружила ничего подозрительного, что бы касалось её беременности.;x
EVTOPTA21010;Какое облегчение!;x
EVTOPTB21010;Я должен ЗНАТЬ. Спрошу у неё сам.;x
EVTOPTC21010;Найму больше шпионов.;x
EVTOPTD21010;Приготовлю ей ловушку.;x
EVTDESC21011;Шпионы, которых я нанял, чтобы найти что-нибудь подозрительное о моей жене и её беременности, не смогли ничего найти.;x
EVTOPTA21011;А может ребёнок и правда мой?;x
EVTDESC21012;Мой дорогой [From.GetRootRelation] [From.GetFirstName] что-то подозревает в связи с моей беременностью. Прямо сейчас он спрашивает меня, действительно ли ребёнок его.;x
EVTOPTA21012;Попробую убедить его в моей верности.;x
EVTOPTB21012;Признаюсь, что [Root.FatherOfUnborn.GetTitledFirstName] - мой любовник.;x
EVTOPTC21012;Он наивен, как дитя. Обведу его вокруг пальца.;x
EVTDESC21013;[From.GetFirstName] стала рыдать, как только я высказался о её возможной неверности. Она клянется в своей неугасающей любви, добродетели и смирении...;x
EVTOPTA21013;Я никогда не буду до конца уверен...;x
EVTDESC21003_CONF;Когда я спросил напрямую, моя [From.GetRootRelation] [From.GetFirstName] бросилась к моим ногам в слезах и призналась, что не была верна мне, всхлипывая и умоляя о прощении - [From.FatherOfUnborn.GetTitledName] был её любовником!;x
EVTDESC21003_CONF_CR;Когда я спросил напрямую, моя [From.GetRootRelation] [From.GetFirstName] бросилась к моим ногам в слезах и призналась в любовной связи на стороне. [From.FatherOfUnborn.GetTitledName], её собственный [From.FatherOfUnborn.GetFromVsRelation] был её любовником!;x
EVTDESC21015;[From.GetFirstName] разозлилась на меня, когда я прямо спросил о её беременности. Она сказала, что живёт взаперти, как пленница, лишённая даже самых простых свобод...;x
EVTOPTA21015;Теперь вину чувствую я...;x
EVTDESC21016;Я получила записку: мой возлюбленный [Root.FatherOfUnborn.GetTitledFirstName] предлагает встретиться за кузницей сегодня. Конечно же, я направилась туда, но к своему ужасу обнаружила, что мой [From.GetRootRelation] [From.GetFirstName] ждал меня там!;x
EVTOPTA21016;Дорогой, я всё объясню!;x
EVTTOOLTIP21003_TRAP;[This.GetFirstName] приходит в ярость!;x
EVTDESC21003_TRAP;Я положил записку в спальне своей жены с предложением встретить её предполагаемого любовника за кузницей. Я стоял там, в надежде, что она не придёт... но она пришла. Она призналась, что [From.FatherOfUnborn.GetTitledName] - её любовник!;x
EVTDESC21003_TRAP_CR;Я положил записку в спальне своей жены с предложением встретить её предполагаемого любовника за кузницей. Она пришла туда и призналась, что у неё есть любовник, это [From.FatherOfUnborn.GetTitledName], её собственный [From.FatherOfUnborn.GetFromVsRelation]!;x
EVTTOOLTIP64046;[This.GetFirstName] и [Root.GetTitledFirstNameNoRegnal] прекращают свою любовную связь;x
alert_no_focus_name;Жизненный Путь;x
alert_no_focus_instant;§YВыберите путь§!;x
alert_no_focus_delayed;Вам следует выбрать свой жизненный путь;x
opinion_unfaithful_wife;Неверная блудница;x
opinion_unfaithful_husband;Неверный развратник;x
opinion_cuckolded;Наставил[___] рога;x #[From.GetEndA]`
opinion_chasing_friend;Соблазняет друга;x
opinion_chasing_spouse;Соблазняет [_жену];x #[Root.GetHusbandWifeOppACC]`
opinion_chasing_child;Соблазняет ребёнка;x
adulterer;Прелюбодей;x
adulteress;Прелюбодейка;x
known_sodomite;Известный содомит;x
cradle_robber;Любит помоложе;x
incestuous_adulterer;Кровосмесительный прелюбодей;x
incestuous_adulteress;Кровосмесительная прелюбодейка;x
opinion_suspected_adultery;Подозревается в прелюбодеянии;x
opinion_regrets_accusation;Сожалеет по поводу обвинений;x
opinion_advance_rejected;Ухаживание отвергнуто;x
opinion_killed_lover;Убил[___] мо[_его] любовни[_ка];x #[From.GetEndA] [Root.GetPreferenceYuEgo] [Root.GetPreferenceTsuKa]`
adulterous_priest;Священни[_к__]-прелюбодей[____];x #[From.GetTsaK] [From.GetEndKa]`
wol_seducer_1;Учится соблазнять;x
desc_wol_seducer_1;Эт[GetEtaEtot] [GetAgedPerson] постигает искусство привлекательности и гонится за острыми ощущениями...;x
wol_seducer_2;Умеет соблазнять;x
desc_wol_seducer_2;Эт[GetEtaEtot] [GetAgedPerson] - известн[GetAyaYy] соблазнитель[GetEndNitsa] и сердцеед[GetEndKa].;x
wol_court_tomcat;Придворный бабник;x
desc_wol_court_tomcat;Этот печально известный мужчина - кобелюга, оставляющий далеко позади ревнивых мужей и любовников.;x
wol_court_vixen;Придворная вертихвостка;x
desc_wol_court_vixen;Эта печально известная женщина - дерзкая распутница, которая знает всё о том, как переиграть ревнивых жён и любовниц.;x
wol_refused_duel;Отказ от дуэли;x
desc_wol_refused_duel;Будучи вызванн[GetOyYm] на честный поединок, эт[GetEtaEtot] [GetAgedPerson] трусливо отказа[GetLasLsya].;x
FOCUS;Путь;x
MILADY;иледи;x #миледи
MILORD;илорд;x #милорд
CHOOSE_FOCUS_OR_AMBITION;Выбрать Путь или Амбицию;x
FOCUSABORTED_SETUP;Путь оставлен;x
FOCUSABORTED_LOG;§Y$CHARNAME$§! оставил[From.GetEndA] жизненный путь §Y$FOCUS$§! позади.;x
FOCUSABORTED_LETTER;Текущая ситуация не позволяет мне следовать путём $FOCUS$.;x
HAS_FOCUS;Следует путём §Y$FOCUS$§!;x
HAS_A_FOCUS;Следует жизненным путём;x
HAS_NO_FOCUS;Не следует жизненным путём;x
SET_FOCUS_EFFECT;$CHAR$ избирает путь §Y$FOCUS$§!\n;x
focus_rulership_title;Правление;x
focus_rulership_desc;[This.GetTitledFirstName] проводит своё время в стремлении править мудро.;x
RULERSHIP_FOCUS;Путь правителя;x
focus_business_title;Торговля;x
focus_business_desc;[This.GetTitledFirstName] братается с горожанами и купцами, стремясь разгадать загадку денежного успеха.;x
BUSINESS_FOCUS;Путь торговца;x
focus_seduction_title;Соблазнение;x
focus_seduction_desc;[This.GetTitledFirstName] оттачивает свои навыки привлекательности, обольщения и власти над людьми. Этот путь даёт возможность §YСоблазнить§! подходящие цели.;x
SEDUCTION_FOCUS;Путь соблазнения;x
focus_intrigue_title;Интрига;x
INTRIGUE_FOCUS;Путь интриг;x
focus_hunting_title;Охота;x
focus_hunting_desc;[This.GetTitledFirstName] путешествует по стране, заводя друзей и убивая божьих тварей.;x
HUNTING_FOCUS;Путь охоты;x
focus_war_title;Война;x
focus_war_desc;[This.GetTitledFirstName] участвует во всех военных делах, от освоения рукопашного боя до чтения трудов античных полководцев. Этот путь даёт возможность вызвать на §YДуэль§! соперников и врагов.;x
WAR_FOCUS;Путь войны;x
focus_carousing_title;Тусовка;x
focus_carousing_desc;[This.GetTitledFirstName] стремится стать известнее и общительнее, проводя шумные вечеринки. Этот путь даёт возможность §YПригласить на пирушку§! подходящих людей.;x
CAROUSING_FOCUS;Путь разгула;x
focus_family_title;Семья;x
focus_family_desc;[This.GetTitledFirstName] сосредотачивается на семейной жизни, стремясь наладить отношения со всеми членами семьи.;x
FAMILY_FOCUS;Семейный путь;x
focus_scholarship_title;Учение;x
focus_scholarship_desc;[This.GetTitledFirstName] зарывается в старые пыльные тома в поисках знаний. Позволяет §YПостроить Обсерваторию§!, что послужит стартовой точкой [This.GetHersHis] изысканий.;x
SCHOLARSHIP_FOCUS;Путь знаний;x
focus_theology_title;Теология;x
focus_theology_desc;[This.GetTitledFirstName] ведет жизнь, полную духовного созерцания, молитв и медитаций.;x
THEOLOGY_FOCUS;Путь теологии;x
seduce_decision;Соблазнить;x
seduce_decision_desc;Сосредоточить свои усилия в надежде, что §Y[This.GetTitledFirstName]§! вступит с Вами в любовную связь...;x
DIP_PERFORM_ACTION;Сделать это!;x
opinion_seducing;Соблазняет;x
opinion_seduced_attracted;Привлекает;x
opinion_seduced_repelled;Отталкивает;x
opinion_seduced_yearning;Вызывает вожделение;x
seducer;Мастер-соблазнитель;x
seducer_desc;Эт[GetEtaEtot] [GetAgedPersonM] - умелый обольститель и распутник, оставляющий за собой разбитые сердца и внебрачных детей.;x
seductress;Умелая соблазнительница;x
seductress_desc;Эт[GetEtaEtot] [GetAgedPersonM] - печально известная обольстительница, чья добродетельность, конечно же, под сомнением...;x
administrator;Администратор;x
administrator_desc;Эт[GetEtaEtot] [GetAgedPerson] - искусный администратор, который любит порядок и эффективность больше всего на свете.;x
architect;Архитектор;x
architect_desc;Эт[GetEtaEtot] [GetAgedPerson] любит архитектуру и машины, в частности те, которые используются при осаде.;x
strategist;Стратег;x
strategist_desc;Эт[GetEtaEtot] [GetAgedPerson] любит планировать кампании и анализировать текущее положение дел.;x
socializer;Общественни[_к];x #GetTsaK_TT_к
socializer_desc;Эт[GetEtaEtot] [GetAgedPerson] стремится нравиться другим и проводит большую часть времени в компании людей.;x
schemer_desc;Эт[GetEtaEtot] [GetAgedPerson] - коварн[GetAyaYy] интриган[GetEndKa] и манипулятор.;x
HAS_ANY_OPINION_MOD;Имеет модификатор мнения "§Y$MOD$§!" о ком-либо;x
HAS_NO_OPINION_MOD;Не имеет модификатор мнения "§Y$MOD$§!" о ком-либо;x
AGE_DIFF_AT_LEAST;Разница в возрасте не меньше чем ;x
AGE_DIFF_LESS_THAN;Разница в возрасте меньше чем ;x
EVTTITLE_WOL_55;Грязный секрет;x
EVTDESC_WOL_55;Буквально на днях, притаившись, как обычно, я увидел[Root.GetEndA], как [FromFrom.GetTitledName] и м[From.GetOyaOy] [From.GetRootRelation] [From.GetFirstName] занимаются этим вместе! Утопая в страсти, они даже не заметили меня - я до сих пор в шоке!;x
EVTDESC_WOL_55_CR;Буквально на днях, притаившись, как обычно, я увидел[Root.GetEndA], как [FromFrom.GetTitledName] и м[From.GetOyaOy] [From.GetRootRelation] [From.GetFirstName] занимаются этим вместе! Поверить не могу... [FromFrom.GetFromVsRelation] и [From.GetFromFromVsRelation]! Они не заметили меня, но я до сих пор в шоке!;x
EVTDESC_WOL_55_M_HOMO;Буквально на днях, притаившись, как обычно, я увидел[Root.GetEndA], как [FromFrom.GetTitledName] и м[From.GetOyaOy] [From.GetRootRelation] [From.GetFirstName] делают то, что мужчины делать не должны! Они не заметили меня, но я до сих пор в шоке!;x
EVTDESC_WOL_55_F_HOMO;Буквально на днях, притаившись, как обычно, я увидел[Root.GetEndA], как [FromFrom.GetTitledName] и м[From.GetOyaOy] [From.GetRootRelation] [From.GetFirstName] делают какие-то странные вещи друг с другом... нагишом. Они не заметили меня, но я до сих пор в шоке!;x
EVTDESC_WOL_55_PRIEST;Буквально на днях, притаившись, как обычно, я увидел[Root.GetEndA], как [FromFrom.GetTitledName] и м[From.GetOyaOy] [From.GetRootRelation] [From.GetFirstName] занимаются этим вместе! И это Божий человек! Меня не заметили, но я до сих пор в шоке!;x
EVTDESC_WOL_55_AGE_YOUNG;Буквально на днях, притаившись, как обычно, я увидел[Root.GetEndA], как [FromFrom.GetTitledName] и м[From.GetOyaOy] [From.GetRootRelation] [From.GetFirstName] занимаются этим вместе! Какой позор, ведь [From.GetSubjectPronoun] - [FromFrom.GetAbsPossPronoun] [From.GetSonDaughter]! Меня не заметили, но я до сих пор в шоке!;x
EVTDESC_WOL_55_AGE_OLD;Буквально на днях, притаившись, как обычно, я увидел[Root.GetEndA], как [FromFrom.GetTitledName] и м[From.GetOyaOy] [From.GetRootRelation] [From.GetFirstName] занимаются этим вместе! Какой позор, ведь [From.GetSubjectPronoun] - [FromFrom.GetAbsPossPronoun] [From.GetFatherMother]! Меня не заметили, но я до сих пор в шоке!;x
EVTDESC_WOL_55_F_MARRIED;Буквально на днях, притаившись, как обычно, я увидел[Root.GetEndA], как [FromFrom.GetTitledName] и м[From.GetOyaOy] [From.GetRootRelation] [From.GetFirstName] занимаются этим вместе! Меня не заметили, но я до сих пор в шоке! Как может [From.GetManWoman]а в браке такое себе позволять? [Root.Religion.GetRandomGodName], прости [From.GetHersHis]!;x
EVTOPTA_WOL_55;Возмутительно! Все должны узнать об этом!;x
EVTOPTA_WOL_55_UNHOLY;Нечестивцы! Об этом должны знать все!;x
EVTOPTB_WOL_55;Плоть слаба. Надо простить и забыть.;x
EVTOPTC_WOL_55;Из этого можно извлечь выгоду!;x
EVTTOOLTIP_WoL_60;Интрига персонажа, известного как [This.GetBestName], будет раскрыта;x
EVTTOOLTIP_WoL_56;[This.GetTitledName] будет шантажироваться;x
EVTDESC_WOL_56;[Root.GetTitledFirstName], [GetFromRootInsult]! Я знаю, что Вы и м[FromFrom.GetOyaOy] [FromFrom.GetFromVsRelation] [FromFrom.GetTitledFirstName] делали вместе. Однако, я понимаю, плоть слаба и соглашусь молчать об этом... недоразумении за небольшое вознаграждение.\n[From.GetBestName];x
EVTDESC_WOL_56_CR;[Root.GetTitledFirstName], [GetFromRootInsult]! Я знаю, что Вы и Ваш[FromFrom.GetEndA] [FromFrom.GetRootRelation] делали вместе. Меня тошнит от вас обоих, но, к счастью для Вас, я остро нуждаюсь в финансах и могу забыть обо всём за небольшое вознаграждение.\n[From.GetBestName];x
EVTDESC_WOL_56_HOMO;[Root.GetTitledFirstName], [GetFromRootInsult]! Я знаю, что Вы и м[FromFrom.GetOyaOy] [FromFrom.GetFromVsRelation] делали вместе. Какая мерзость! Тем не менее, милосердие мне не чуждо, и этот... инцидент будет забыт в обмен на небольшое вознаграждение.\n[From.GetBestName];x
EVTOPTA_WOL_56;Ах ты [GetRootFromInsult]! Так и быть, заплачу...;x
EVTOPTB_WOL_56;Расскажи всем, мне плевать!;x
EVTTOOLTIP_WoL_57;[This.GetBestName] получит деньги;x
EVTDESC_WOL_57;[Root.GetInsultAdjective] [Root.GetFirstName]. Вот деньги. Но если не будете молчать, клянусь, я сделаю с Вами такое, что Вы не можете вообразить!\n[From.GetFirstName];x
EVTOPTA_WOL_57;Слежка может быть весьма полезной!;x
