sora_escapeprison_FledPrisoner_prisonrevolt_title;Бунт в тюрьме;;;;;;;;;;;;;x
sora_escapeprison_FledPrisoner_prisonrevolt_desc;В подземной тюрьме произошло восстание, во главе с [From.GetName]. [From.GetSheHe] сбежал, а остальные узники бегут к выходу!;;;;;;;;;;;;;x
sora_escapeprison_FledPrisoner_prisonrevolt_opt;Остановите их!;;;;;;;;;;;;;x
sora_escapeprison_FledPrisoner_digtunnel_title;Обнаружён подземный ход!;;;;;;;;;;;;;x
sora_escapeprison_FledPrisoner_digtunnel_desc;Ваши  стражники нашли подземный ход в [From.GetName] камере. [From.GetSheHe] не нашли...;;;;;;;;;;;;;x
sora_escapeprison_FledPrisoner_digtunnel_opt;Засыпать дыру!;;;;;;;;;;;;;x
sora_escapeprison_FledPrisoner_sneakout_title;Узник исчез!;;;;;;;;;;;;;x
sora_escapeprison_FledPrisoner_sneakout_desc;[From.GetName] исчез из [From.GetHerHis] темницы и ваши стражники не смогли найти какие-либо следы [From.GetHerHim];;;;;;;;;;;;;x
sora_escapeprison_FledPrisoner_sneakout_opt;Продолжить поиск, пока он не упадет замертво!;;;;;;;;;;;;;x
sora_escapeprison_FledPrisoner_Playeddead_title;Узник симулировал смерть;;;;;;;;;;;;;x
sora_escapeprison_FledPrisoner_Playeddead_desc;Ваш  тайный советник сообщает, что [From.GetName] который, как считалось, умер вместе с охранниками. Но [From.GetHerHis] тело [From.GetHerHis] на самом деле не умерло, как мы думали...;;;;;;;;;;;;;x
sora_escapeprison_FledPrisoner_Playeddead_opt;Вы даже не можете отличить мертвых от живых?!;;;;;;;;;;;;;x
sora_escapeprison_wait_opt;Я буду ждать следующую возможность;;;;;;;;;;;;;x
sora_escapeprison_canceldecision_opt;Возможно, не стоит бежать прямо сейчас. Ещё немного подготовки не повредит.;;;;;;;;;;;;;x
